Potencia;Rendimento;Queda Liquida;Vaz∆o;TIME
20;0.855;19.56;125;1
20;0.857;19;128.6;2
20;0.86;18.5;135;3
20;0.867;17.5;136.4;4
20;0.872;17;140;5
20;0.88;16;147;6
20;0.885;15.5;151.5;7
20;0.885;15;156;8
20;0.885;14.5;160;9
20;0.883;14;165;10
20;0.88;13.5;175;11
20;0.8745;13;180.5;12
20;0.87;12.5;190;13
20;0.866;12;198.5;14
20;0.8585;11.5;207.2;15
20;0.854;11;220;16
20;0.8425;10.5;232.5;17
20;0.84;10;244;18
20;0.832;9.5;257.5;19
20;0.821;9;276;20
20;0.805;8.5;300;21
20;0.8;8.4;305;22
25;0.887;19.56;148;23
25;0.89;19;152;24
25;0.898;18;160;25
25;0.903;17;169;26
25;0.906;16;178;27
25;0.902;15;188;28
25;0.8895;13;220;29
25;0.88;12;240;30
25;0.877;11;265;31
25;0.864;10;300;32
25;0.832;9;342;33
25;0.8;8.55;370;34
30;0.908;19.56;176;35
30;0.91;19;179;36
30;0.915;18;198.5;37
30;0.9156;16;210;38
30;0.91;14;240;39
30;0.9055;12;282;40
30;0.892;11;311.5;41
30;0.88;10.5;335;42
30;0.87;10;350;43
30;0.839;9.4;409;44
30;0.85;9.5;385;45
32.5;0.92;17;210;46
35;0.925;17;230;47
35;0.915;12;320;48
35;0.9;11;360;49
35;0.88;10.3;395;50
35;0.868;10;412;51
40;0.931;19.56;224;52
40;0.9325;18;246;53
40;0.9335;17;260;54
40;0.9345;16;276;55
40;0.9325;15;295;56
40;0.929;14;318;57
40;0.9245;13;340;58
40;0.9165;12;376;59
40;0.899;11;419;60
40;0.87;10.3;459;61
44;0.94;16;300;62
50;0.943;19.56;280;63
50;0.9445;18;300;64
50;0.945;17;320;65
50;0.9405;15;362;66
50;0.9355;14;392;67
50;0.911;12;470;68
50;0.889;11.5;505;69
56;0.945;16;378;70
60;0.9495;19.56;332;71
60;0.9488;19;340;72
60;0.9475;17;381;73
60;0.946;16;405;74
60;0.93;14;474;75
60;0.9135;13;520;76
60;0.898;12.7;546;77
65;0.945;16;442;78
65;0.95;17.75;398;79
70;0.95;19.56;384;80
70;0.95;18;420;81
70;0.942;17;445;82
70;0.9415;16;479;83
70;0.931;15;518;84
70;0.9225;14.5;540;85
70;0.914;14;560;86
70;0.909;13.9;570;87
80;0.95;19.56;440;88
80;0.95;19;457;89
80;0.945;18;480;90
80;0.9375;17;518;91
80;0.93;16;550;92
80;0.918;15.4;583;93
86;0.9482;19.56;477;94
86;0.945;19;493;95
86;0.9422;18.5;506;96
86;0.9385;18;522.5;97
86;0.935;17.5;538;98
86;0.9315;17;560;99
86;0.926;16.5;578;100
86;0.923;16.2;592;101
